label,count,range,m_weights,weight_range,weight_ratio
absolute magnitude,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
adjacent station,38,20-49,0.9918822498985281,0.99-1.0,0.1788403422305675
affiliation,25,20-49,0.9946593749332422,0.99-1.0,0.17934106899695149
after a work by,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
age of majority,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
airline hub,15,10-19,0.9967956249599453,0.99-1.0,0.17972624343263144
albedo,15,10-19,0.9967956249599453,0.99-1.0,0.17972624343263144
amended by,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
anatomical location,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
annual number of weddings,17,10-19,0.9963683749546047,0.99-1.0,0.17964920854549546
antagonist muscle,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
apoapsis,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
apparent magnitude,164,100-199,0.9649654995620688,0.95-0.99,0.17398714434099988
applies to jurisdiction,109,100-199,0.9767148747089359,0.95-0.99,0.1761056037372397
architect,77,50-99,0.983550874794386,0.95-0.99,0.17733816193141563
architectural style,111,100-199,0.9762876247035953,0.95-0.99,0.1760285688501037
archives at,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
area,606,500-999,0.8705432483817905,0.7-0.9,0.15696243428394513
armament,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
art director,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
arterial supply,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
aspect ratio,16,10-19,0.996581999957275,0.99-1.0,0.17968772598906346
atomic number,93,50-99,0.9801328747516609,0.95-0.99,0.17672188283432763
attendance,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
author,193,100-199,0.9587703744846297,0.95-0.99,0.17287013847752794
award received,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
ballots cast,16,10-19,0.996581999957275,0.99-1.0,0.17968772598906346
based on,26,20-49,0.9944457499305719,0.99-1.0,0.17930255155338348
basin country,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
beam,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
best sprinter classification,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
binding energy,123,100-199,0.9737241246715516,0.95-0.99,0.17556635952728775
biological process,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
biological variant of,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
boiling point,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
brand,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
budget,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
