Scanning for small edit distance pairs in test set...
Row   13 | Sub: 2016 Volta a Catalunya              | Obj: 2017 Volta a Catalunya              | Dist: 1 | Current Pred: followed by
Row  112 | Sub: れ                                   | Obj: レ                                   | Dist: 1 | Current Pred: has part
Row  152 | Sub: 1968 Irish Open Badminton Championships | Obj: 1967 Irish Open Badminton Championships | Dist: 1 | Current Pred: follows
Row  173 | Sub: Miss USA 2013                       | Obj: Miss USA 2012                       | Dist: 1 | Current Pred: follows
Row  244 | Sub: 830s BC                             | Obj: 820s BC                             | Dist: 1 | Current Pred: followed by
Row  250 | Sub: 2019 Le Samyn                       | Obj: 2018 Le Samyn                       | Dist: 1 | Current Pred: follows
Row  275 | Sub: 2006 Tirreno–Adriatico              | Obj: 2007 Tirreno–Adriatico              | Dist: 1 | Current Pred: followed by
Row  293 | Sub: 1991 UCI Road World Championships – Women's road race | Obj: 1993 UCI Road World Championships – Women's road race | Dist: 1 | Current Pred: followed by
Row  338 | Sub: Uganda                              | Obj: Ugandan                             | Dist: 1 | Current Pred: demonym
Row  420 | Sub: 1958 Belgian Badminton Championships | Obj: 1959 Belgian Badminton Championships | Dist: 1 | Current Pred: followed by
Row  437 | Sub: Maine                               | Obj: Mainer                              | Dist: 1 | Current Pred: demonym
Row  448 | Sub: 20s                                 | Obj: 30s                                 | Dist: 1 | Current Pred: part of
Row  452 | Sub: Mendizabal                          | Obj: Mendizábal                          | Dist: 1 | Current Pred: different from
Row  471 | Sub: 1954 European Rowing Championships  | Obj: 1955 European Rowing Championships  | Dist: 1 | Current Pred: followed by
Row  501 | Sub: 1974 German Open Badminton Championships | Obj: 1973 German Open Badminton Championships | Dist: 1 | Current Pred: follows
Row  537 | Sub: 2017 Volta a Catalunya              | Obj: 2018 Volta a Catalunya              | Dist: 1 | Current Pred: followed by
Row  689 | Sub: World Esperanto Congress 1935       | Obj: World Esperanto Congress 1936       | Dist: 1 | Current Pred: followed by
Row  784 | Sub: 漢                                   | Obj: 汉                                   | Dist: 1 | Current Pred: CJKV variant character
Row  814 | Sub: 1965 Belgian Badminton Championships | Obj: 1966 Belgian Badminton Championships | Dist: 1 | Current Pred: followed by
Row  909 | Sub: 1998 Irish Open Badminton Championships | Obj: 1999 Irish Open Badminton Championships | Dist: 1 | Current Pred: followed by
Row  984 | Sub: 2010 African Badminton Championships | Obj: 2011 African Badminton Championships | Dist: 1 | Current Pred: followed by
Row 1033 | Sub: 1996 Irish Open Badminton Championships | Obj: 1997 Irish Open Badminton Championships | Dist: 1 | Current Pred: followed by
Row 1038 | Sub: 1968 Belgian Badminton Championships | Obj: 1969 Belgian Badminton Championships | Dist: 1 | Current Pred: followed by
Row 1073 | Sub: 1964 Belgian Badminton Championships | Obj: 1965 Belgian Badminton Championships | Dist: 1 | Current Pred: followed by
Row 1189 | Sub: 1959 Belgian Badminton Championships | Obj: 1960 Belgian Badminton Championships | Dist: 2 | Current Pred: followed by
Row 1191 | Sub: de la Cruz                          | Obj: De la Cruz                          | Dist: 0 | Current Pred: different from
