row,Subject,Object,Current_Pred,Rare_Label,Match_Type,Train_Count
3136,海,Big5 character,instance of,CJKV variant character,Subject-only Match,5
809,Beauty and the Beast,Category I,Filmiroda rating,Filmiroda rating,Exact Pair Match,8
1009,Forest Glen station,gratis,Wi-Fi access,Wi-Fi access,Exact Pair Match,4
508,Czech Republic,Eastern Europe,part of,Wikimedia outline,Subject-only Match,12
3611,Kerman,masterpiece of human creative genius,World Heritage criteria,World Heritage criteria,Exact Pair Match,8
880,Hegemone,0.04,albedo,albedo,Exact Pair Match,15
374,Munich massacre,terrorism,instance of,armament,Subject-only Match,3
1399,Munich massacre,hostage crisis,instance of,armament,Subject-only Match,3
589,Basilica of Saints Plechelm Wiro-and-Otger,Sint Odiliënberg,located in the administrative territorial entity,category for the interior of the item,Subject-only Match,15
1335,Santa Maria del Mar,Spain,country,category for the interior of the item,Subject-only Match,15
1635,Basilica of Saints Plechelm Wiro-and-Otger,Wera von Utrecht,location,category for the interior of the item,Subject-only Match,15
2669,Iglesia de San Francisco de Asís,Spain,country,category for the interior of the item,Subject-only Match,15
1088,ethyl acrylate,0,ceiling exposure limit,ceiling exposure limit,Exact Pair Match,4
3974,2018 Clásico RCN,Óscar Sevilla,combination classification,combination classification,Exact Pair Match,4
1988,Austria,euro,currency,currency,Exact Pair Match,4
3997,Lucera Painter,-0400-01-01T00:00:00Z,date of death,date of death,Exact Pair Match,9
840,Enyo,war,domain of saint or deity,domain of saint or deity,Exact Pair Match,4
508,Czech Republic,Eastern Europe,part of,driving side,Subject-only Match,9
1665,selenium,1.0,electronegativity,electronegativity,Cross-row Match,14
4018,KCC-MS871,human papilloma virus related endocervical adenocarcinoma,established from medical condition,established from medical condition,Exact Pair Match,14
508,Czech Republic,Eastern Europe,part of,ethnic group,Subject-only Match,13
245,KV10,list of burials in the Valley of the Kings,part of,excavation director,Subject-only Match,13
402,WV22,list of burials in the Valley of the Kings,part of,excavation director,Subject-only Match,13
561,KV46,list of burials in the Valley of the Kings,part of,excavation director,Subject-only Match,13
684,KV13,list of burials in the Valley of the Kings,part of,excavation director,Subject-only Match,13
1361,KV47,list of burials in the Valley of the Kings,part of,excavation director,Subject-only Match,13
1824,KV42,list of burials in the Valley of the Kings,part of,excavation director,Subject-only Match,13
3078,KV15,list of burials in the Valley of the Kings,part of,excavation director,Subject-only Match,13
3337,KV19,list of burials in the Valley of the Kings,part of,excavation director,Subject-only Match,13
3687,KV18,list of burials in the Valley of the Kings,part of,excavation director,Subject-only Match,13
3998,"Musée Saint-Raymond, 26369",Art grec de la terre à l'image,exhibition history,exhibition history,Exact Pair Match,4
1690,Diosphos Painter,-0500-01-01T00:00:00Z,floruit,floruit,Exact Pair Match,3
588,Kokkola lighthouse,Kokkola,located in the administrative territorial entity,focal height,Subject-only Match,11
679,Beacon of Tampo island,Spain,country,focal height,Subject-only Match,11
1548,Beacon of Home cape,Spain,country,focal height,Subject-only Match,11
1720,Beacon of Rúa island,Spain,country,focal height,Subject-only Match,11
2583,Beacon of Rúa island,Ribeira,located in the administrative territorial entity,focal height,Subject-only Match,11
2934,Beacon of Punta Couso,Spain,country,focal height,Subject-only Match,11
3365,Vallinsgrundet,"NGA List of Lights, Radio Aids and Fog Signals",part of,focal height,Subject-only Match,11
310,Happy,white hair,hair color,hair color,Exact Pair Match,5
514,Church Inn,inn,use,has facility,Subject-only Match,10
694,The Romany Inn,inn,use,has facility,Subject-only Match,10
2229,Swingate Inn,inn,use,has facility,Subject-only Match,10
2234,The Royal Oak Inn,"Brookland, Kent",location,has facility,Subject-only Match,10
17,Ancient Greek,neuter,has grammatical gender,has grammatical gender,Exact Pair Match,11
2985,Danish,perfect,has tense,has tense,Exact Pair Match,11
1842,Romansh,Graubünden,indigenous to,indigenous to,Exact Pair Match,5
199,Leafpad,text editing,introduced feature,introduced feature,Exact Pair Match,8
3432,Eliezer,Wikimedia set index article,instance of,is a list of,Subject-only Match,2
3469,Kalinin,Wikimedia set index article,instance of,is a list of,Subject-only Match,2
3281,Alphonse Allard Fonds,fonds,level of description,level of description,Exact Pair Match,13
526,Kunduakori,0,number of households,literate population,Exact Pair Match,11
1146,Bandagal,0,number of households,literate population,Exact Pair Match,11
1172,Faridpur,0,number of households,literate population,Exact Pair Match,11
1349,Mautara,0,number of households,literate population,Exact Pair Match,11
2604,Arazi Brahmandihi,0,number of households,literate population,Exact Pair Match,11
3834,Arazi Brahmandihi,Ilambazar community development block,located in the administrative territorial entity,literate population,Subject-only Match,11
3933,Chak Modpur,0,number of households,literate population,Exact Pair Match,11
1186,Skivholme parish,Skanderborg Municipality,located in the administrative territorial entity,located in the ecclesiastical territorial entity,Subject-only Match,2
2075,Tropical Storm in 1990 Fran,1990 Atlantic hurricane season,part of,maximum sustained winds,Subject-only Match,11
2421,Tropical Storm in 1990 Hortense,1990 Atlantic hurricane season,part of,maximum sustained winds,Subject-only Match,11
2631,Tropical Storm in 1990 Arthur,1990 Atlantic hurricane season,part of,maximum sustained winds,Subject-only Match,11
3617,Tropical Storm in 1990 Cesar,1990 Atlantic hurricane season,part of,maximum sustained winds,Subject-only Match,11
945,year,time,measured physical quantity,measured physical quantity,Exact Pair Match,4
3979,2017 High Roller for One Drop,21,minimum age,minimum age,Exact Pair Match,4
3566,Pro Ecclesia et Pontifice,Vatican City,located in the administrative territorial entity,next lower rank,Subject-only Match,10
343,Baix Penedès,Spain,located in the administrative territorial entity,nominal GDP,Subject-only Match,11
1222,Pallars Sobirà,Spain,country,nominal GDP,Subject-only Match,11
2578,Cerdanya,Spain,country,nominal GDP,Subject-only Match,11
3327,Baix Camp,Spain,country,nominal GDP,Subject-only Match,11
3762,Priorat,Spain,country,nominal GDP,Subject-only Match,11
2231,Minister for Police,Premier of South Australia,nominated by,nominated by,Exact Pair Match,9
2602,iPhone 5,-20,non-operating temperature,non-operating temperature,Exact Pair Match,4
547,EnjoyUp Games,Spain,country,notable work,Subject-only Match,7
2297,Cosmonaut Games,Spain,country,notable work,Subject-only Match,7
1142,Nord 3.1501 and 3.1502,tender locomotive,subclass of,number of cylinders,Subject-only Match,12
1762,SNCF 232.U.1,tender locomotive,subclass of,number of cylinders,Subject-only Match,12
2349,Est 1002 to 1005,tender locomotive,subclass of,number of cylinders,Subject-only Match,12
374,Munich massacre,terrorism,instance of,number of deaths,Subject-only Match,14
886,Marjory Stoneman Douglas High School shooting,Marjory Stoneman Douglas High School,location,number of deaths,Subject-only Match,14
1399,Munich massacre,hostage crisis,instance of,number of deaths,Subject-only Match,14
3267,2017 Har Adar shooting,Israel,country,number of deaths,Subject-only Match,14
359,Boston Marathon bombings,terrorism,instance of,number of injured,Subject-only Match,15
510,Boston Marathon bombings,Boston,location,number of injured,Subject-only Match,15
819,2020 Tarragona explosion,Spain,country,number of injured,Subject-only Match,15
1623,Transport and murder of Białystok children,Jews in Germany,part of,number of injured,Subject-only Match,15
367,2017 Har Adar shooting,1,number of perpetrators,number of perpetrators,Exact Pair Match,11
886,Marjory Stoneman Douglas High School shooting,Marjory Stoneman Douglas High School,location,number of perpetrators,Subject-only Match,11
3267,2017 Har Adar shooting,Israel,country,number of perpetrators,Subject-only Match,11
3950,canton of Bern,town hall courtyard fountain,located in the administrative territorial entity,official language,Subject-only Match,11
3465,Battle of Peebles's Farm,Dinwiddie County,location,order of battle,Subject-only Match,12
264,Prestwick Golf Club,South Ayrshire,located in the administrative territorial entity,par,Subject-only Match,6
582,Royal Troon Golf Club,South Ayrshire,located in the administrative territorial entity,par,Subject-only Match,6
2383,Turnberry,South Ayrshire,located in the administrative territorial entity,par,Subject-only Match,6
3480,KCC-MS871,HeLa,parent cell line,parent cell line,Exact Pair Match,14
919,RK Borec,Veles,located in the administrative territorial entity,participant of,Subject-only Match,14
95,Hladový buk u Dětřichovce,Jindřichovice pod Smrkem,located in the administrative territorial entity,perimeter,Subject-only Match,9
300,Chodovský buk,solitary,instance of,perimeter,Subject-only Match,9
987,Kaasův buk,solitary,instance of,perimeter,Subject-only Match,9
1125,Oslí buk,solitary,instance of,perimeter,Subject-only Match,9
3401,Drážní buk,solitary,instance of,perimeter,Subject-only Match,9
3654,Hladový buk u Dětřichovce,solitary,instance of,perimeter,Subject-only Match,9
3854,Oslí buk,Nové Město pod Smrkem,located in the administrative territorial entity,perimeter,Subject-only Match,9
23,Kalibak,Apokolips,place of birth,place of birth,Exact Pair Match,8
136,Glorious Godfrey,Apokolips,place of birth,place of birth,Exact Pair Match,8
282,Granny Goodness,Apokolips,place of birth,place of birth,Exact Pair Match,8
1249,Kanto,Apokolips,place of birth,place of birth,Exact Pair Match,8
1267,Steppenwolf,Apokolips,place of birth,place of birth,Exact Pair Match,8
2406,Doctor Bedlam,Apokolips,place of birth,place of birth,Exact Pair Match,8
2594,Kanto,Apokolips,place of birth,place of birth,Exact Pair Match,8
2778,Devilance,Apokolips,place of birth,place of birth,Exact Pair Match,8
3894,Virman Vundabar,Apokolips,place of birth,place of birth,Exact Pair Match,8
1441,Freeciv,Microsoft Windows,platform,platform,Exact Pair Match,15
2851,Blender,macOS,platform,platform,Cross-row Match,15
705,CD274 EXPRESSION,cancer,positive prognostic predictor,positive prognostic predictor,Exact Pair Match,3
2193,PGR EXPRESSION,breast cancer,positive prognostic predictor,positive prognostic predictor,Exact Pair Match,3
3593,CD274 EXPRESSION,breast cancer,positive prognostic predictor,positive prognostic predictor,Cross-row Match,3
3938,Charlie Hebdo,1,publication interval,publication interval,Exact Pair Match,4
53,Miss Texas' Outstanding Teen,Richardson,located in the administrative territorial entity,qualifies for event,Subject-only Match,7
124,Miss Mississippi's Outstanding Teen,Miss America's Outstanding Teen,qualifies for event,qualifies for event,Exact Pair Match,7
1820,Miss Hawaii's Outstanding Teen,Kaneohe,located in the administrative territorial entity,qualifies for event,Subject-only Match,7
2899,Miss Colorado's Outstanding Teen,Parker,located in the administrative territorial entity,qualifies for event,Subject-only Match,7
577,Barrage du Châtelot,Neuchâtel,located in the administrative territorial entity,reservoir created,Subject-only Match,5
2681,Diablo Dam,Whatcom County,located in the administrative territorial entity,reservoir created,Subject-only Match,5
4015,Esch-sur-Sûre Dam,Esch-sur-Sûre,located in the administrative territorial entity,reservoir created,Subject-only Match,5
2781,Lake Tahoe Basin Management Unit,El Dorado County,located in the administrative territorial entity,significant place,Subject-only Match,12
4030,2001 QX297,Palomar Observatory,site of astronomical discovery,site of astronomical discovery,Exact Pair Match,4
460,Ulkokalla Lighthouse,"NGA List of Lights, Radio Aids and Fog Signals",part of,source of energy,Subject-only Match,7
1571,Marjaniemi lighthouse,"NGA List of Lights, Radio Aids and Fog Signals",part of,source of energy,Subject-only Match,7
3819,1982 Lliga Catalana de Bàsquet,Spain,country,statistical leader,Subject-only Match,13
3136,海,Big5 character,instance of,stroke count,Subject-only Match,5
4064,2002 Energis Open,clay court,surface played on,surface played on,Exact Pair Match,4
1422,Bielenberg mit Stollen,Bielenberg,located in the administrative territorial entity,taxa especially protected in area,Subject-only Match,12
3183,Reservoir fountain,water distribution pipe network,type of water supply,type of water supply,Exact Pair Match,13
508,Czech Republic,Eastern Europe,part of,unemployment rate,Subject-only Match,6
355,Lake Bolsena,Italy,country,vertical depth,Subject-only Match,3
2211,Yuno Gasai,shirt,wears,wears,Exact Pair Match,4
3046,LSWR 177-class no. 188,2-4-0WT,wheel arrangement,wheel arrangement,Exact Pair Match,6
1861,Menemen railway station,wheelchair accessible,wheelchair accessibility,wheelchair accessibility,Exact Pair Match,5
