Scanning test set for 'said to be the same as' candidates...
Row   61 | Sub: 2018 European Junior Badminton Championships | Obj: 2018 European Junior Badminton Championships – Women's singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row  137 | Sub: Violin Concerto No. 3               | Obj: violin                              | Current Pred: instrumentation                     | Type: Prefix/Shortened name
Row  182 | Sub: 2002 Denmark Open Badminton Championships | Obj: 2002 Denmark Open Badminton Championships – Men's singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row  336 | Sub: 2009 Legg Mason Tennis Classic      | Obj: 2009 Legg Mason Tennis Classic – Doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row  338 | Sub: Uganda                              | Obj: Ugandan                             | Current Pred: demonym                             | Type: Prefix/Shortened name
Row  360 | Sub: 2005 Boston Open Badminton Championships | Obj: 2005 Boston Open Badminton Championships – Men's doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row  394 | Sub: 2000 DFS Classic                    | Obj: 2000 DFS Classic – Doubles          | Current Pred: has part                            | Type: Prefix/Shortened name
Row  411 | Sub: Bollapalle                          | Obj: Bollapalle mandal                   | Current Pred: capital of                          | Type: Prefix/Shortened name
Row  431 | Sub: egg                                 | Obj: egg yolk                            | Current Pred: has part                            | Type: Prefix/Shortened name
Row  437 | Sub: Maine                               | Obj: Mainer                              | Current Pred: demonym                             | Type: Prefix/Shortened name
Row  442 | Sub: Gmunden District                    | Obj: Gmunden                             | Current Pred: capital                             | Type: Prefix/Shortened name
Row  451 | Sub: RNA polymerase sigma-70             | Obj: RNA polymerase sigma-70 like domain | Current Pred: has part                            | Type: Prefix/Shortened name
Row  452 | Sub: Mendizabal                          | Obj: Mendizábal                          | Current Pred: different from                      | Type: Spelling/Orthographic Variant
Row  453 | Sub: Udmurt                              | Obj: Udmurt Republic                     | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row  474 | Sub: 1967 Swedish Open Badminton Championships | Obj: 1967 Swedish Open Badminton Championships – Men's singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row  530 | Sub: Kiskunfélegyháza                    | Obj: Kiskunfélegyháza  District          | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row  588 | Sub: Kokkola lighthouse                  | Obj: Kokkola                             | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row  593 | Sub: Bludenz District                    | Obj: Bludenz                             | Current Pred: capital                             | Type: Prefix/Shortened name
Row  685 | Sub: Ózd  District                       | Obj: Ózd                                 | Current Pred: capital                             | Type: Prefix/Shortened name
Row  722 | Sub: Violin Concerto No. 1               | Obj: violin                              | Current Pred: instrumentation                     | Type: Prefix/Shortened name
Row  735 | Sub: Blender                             | Obj: Blender Foundation                  | Current Pred: owned by                            | Type: Prefix/Shortened name
Row  798 | Sub: 2002 Irish Open Badminton Championships | Obj: 2002 Irish Open Badminton Championships – Men's doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row  874 | Sub: 1984 Canadian Open Badminton Championships | Obj: 1984 Canadian Open Badminton Championships – Men's doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row  886 | Sub: Marjory Stoneman Douglas High School shooting | Obj: Marjory Stoneman Douglas High School | Current Pred: location                            | Type: Prefix/Shortened name
Row  901 | Sub: Clwyd County Council                | Obj: Clwyd                               | Current Pred: applies to jurisdiction             | Type: Prefix/Shortened name
